scenario,seed,cca,goodput_mbps,avg_rtt_ms,p95_rtt_ms,p99_rtt_ms,loss_rate,jain_fairness,handovers
leo_fast_ho,13,CUBIC,6.4432,65.3908431162401,134.3366976352642,141.6417889240662,0.0014216990957332497,1.0,7
leo_fast_ho,13,BBRv3approx,65.38112,116.16838916315628,188.6213259473495,188.6213259473495,0.011780638608314322,1.0,7
leo_fast_ho,13,LeoAware,77.04768,107.32373247127596,165.43835675015595,165.43835675015595,0.010819982388941461,1.0,8
leo_fast_ho,7,CUBIC,4.5136,78.19721718807152,122.63164599032004,169.8293815882876,0.001981178801386825,1.0,8
leo_fast_ho,7,BBRv3approx,90.78325333333333,71.70176903472874,111.25620022888846,111.25620022888846,0.012302511100228156,1.0,6
leo_fast_ho,7,LeoAware,83.53664,90.70038925711528,111.05276260359085,136.42619502655702,0.011497415637444542,1.0,8
leo_fast_ho,42,CUBIC,4.611413333333333,78.42640242481792,142.47320636299204,142.47320636299204,0.00198531788171199,1.0,7
leo_fast_ho,42,BBRv3approx,62.54933333333334,84.32306787468295,116.17186336441814,116.17186336441814,0.01751681731743891,1.0,7
leo_fast_ho,42,LeoAware,80.77205333333333,70.01672774112023,103.7581301228511,103.7581301228511,0.010951865343648245,1.0,7
leo_fast_ho,99,CUBIC,5.869013333333333,71.73981269964946,115.33918376619673,119.40393842115921,0.0015605719677723744,1.0,7
leo_fast_ho,99,BBRv3approx,65.38528,102.62265399893221,156.51095507579615,156.51095507579615,0.01705832832230908,1.0,7
leo_fast_ho,99,LeoAware,65.5392,108.44582502619042,149.54805911215533,149.54805911215533,0.012567296102852551,1.0,7
leo_fast_ho,123,CUBIC,5.925333333333333,68.28262258189174,109.25129007820682,158.71697344291763,0.0017610695802185163,1.0,8
leo_fast_ho,123,BBRv3approx,70.31050666666667,88.46393676765115,121.60431565983241,121.60431565983241,0.015016213146844787,1.0,7
leo_fast_ho,123,LeoAware,62.708693333333336,81.0094905621836,110.95433921097305,123.74865041255993,0.008993154414231267,1.0,8
leo_single,13,CUBIC,7.98464,62.23948917031845,122.95939084598079,122.95939084598079,0.0008409081808353022,1.0,4
leo_single,13,BBRv3approx,46.229546666666664,74.70288946581182,108.63490589127773,108.63490589127773,0.02165708042510542,1.0,4
leo_single,13,LeoAware,81.89450666666667,96.51729324143906,122.06118938532795,122.06118938532795,0.009486346524511233,1.0,4
leo_single,7,CUBIC,5.78368,75.80904369746355,134.76324063241034,134.76324063241034,0.0011053387863380127,1.0,4
leo_single,7,BBRv3approx,66.38432,92.88941235050135,161.61106159243928,161.61106159243928,0.014456469068001939,1.0,4
leo_single,7,LeoAware,67.61866666666667,98.9428461640298,158.07667617645933,158.07667617645933,0.009256886010427477,1.0,4
leo_single,42,CUBIC,7.692053333333333,64.7375314360805,124.70604866872675,189.25538020337382,0.0008867090624437148,1.0,4
leo_single,42,BBRv3approx,64.54965333333334,106.59708151994961,163.20701793608282,163.20701793608282,0.00974459506339305,1.0,4
leo_single,42,LeoAware,42.47402666666667,72.58155496959891,151.49360071289917,151.49360071289917,0.0016347161561103783,1.0,3
leo_single,99,CUBIC,9.337173333333334,56.84441626255027,106.20170747678367,106.20170747678367,0.000753407456450766,1.0,3
leo_single,99,BBRv3approx,60.23690666666666,89.92092032446882,117.7358483066379,117.7358483066379,0.01674791935090713,1.0,3
leo_single,99,LeoAware,52.12490666666666,106.62377735442384,188.98674993301418,188.98674993301418,0.005830690263398279,1.0,4
leo_single,123,CUBIC,6.247573333333333,80.65453864883975,174.9681865556798,174.9681865556798,0.0008358921869669055,1.0,3
leo_single,123,BBRv3approx,54.53888,83.65071931681047,105.44517478604676,105.44517478604676,0.017239092703610234,1.0,4
leo_single,123,LeoAware,69.14304,108.58390713155353,181.72080449717316,181.72080449717316,0.008728843107150067,1.0,4
terrestrial,13,CUBIC,14.51632,40.0,40.0,40.0,0.00048473631446166725,1.0,0
terrestrial,13,BBRv3approx,78.81232,40.0,40.0,40.0,0.012268019530975846,1.0,0
terrestrial,13,LeoAware,78.26656,40.0,40.0,40.0,0.0008517452607627307,1.0,0
terrestrial,7,CUBIC,12.42944,40.00000000000001,40.0,40.0,0.0005917921008619581,1.0,0
terrestrial,7,BBRv3approx,78.81136,40.00000000000001,40.0,40.0,0.01228401213562544,1.0,0
terrestrial,7,LeoAware,78.18192,40.0,40.0,40.0,0.0008608385917416748,1.0,0
terrestrial,42,CUBIC,14.61776,39.99999999999999,40.0,40.0,0.0004923090387939522,1.0,0
terrestrial,42,BBRv3approx,78.81504,40.0,40.0,40.0,0.012239872628324155,1.0,0
terrestrial,42,LeoAware,78.15104,39.99999999999999,40.0,40.0,0.0008223448693453563,1.0,0
terrestrial,99,CUBIC,14.0008,40.0,40.0,40.0,0.0004911591355599214,1.0,0
terrestrial,99,BBRv3approx,78.80976,40.00000000000001,40.0,40.0,0.012294161526553464,1.0,0
terrestrial,99,LeoAware,78.22832,39.999999999999986,40.0,40.0,0.0008521612607899555,1.0,0
terrestrial,123,CUBIC,14.01472,39.99999999999999,40.0,40.0,0.0005362909207088168,1.0,0
terrestrial,123,BBRv3approx,78.81216,40.0,40.0,40.0,0.012273986007535638,1.0,0
terrestrial,123,LeoAware,78.1576,39.99999999999999,40.0,40.0,0.0008427132913476663,1.0,0
